rank,model,model_aliases,SGI-Index,AstroVisBench,ChemBench,CMPhysBench,EarthSE,ResearchBench,SciCode,SFE,TRQA,num_benchmarks_available,missing_benchmarks,compute,cost,token_usage
1,Gemini-3-Pro,"Gemini-3-pro, Grmini-3-Pro",54.57,46.23,73.08,55.97,67.89,61.51,16.92,55.62,59.3,8,,,,
2,Qwen3-VL-235B-A22B-Instruct,,53.74,,,,75.2,,,38.35,47.67,3,"AstroVisBench, ChemBench, CMPhysBench, ResearchBench, SciCode",,,
3,Claude-opus-4-5-20251101-thinking,,53.03,49.55,71.2,49.16,64.1,60.06,12.31,55.03,62.79,8,,,,
4,GPT-5,,51.02,50.74,70.42,45.52,80.21,45.67,13.85,42.44,59.3,8,,,,
5,Claude 4.5 Sonnet,,48.82,43.8,69.2,43.83,66.6,56.1,9.23,43.64,58.14,8,,,,
6,GPT-o3,,47.68,51.22,69.81,40.98,81.4,34.14,7.69,32.84,63.37,8,,,,
7,Kimi-k2,,47.67,42.65,65.83,44.78,78.5,42.28,6.15,,53.49,7,SFE,,,
8,Gemini-2.5-Pro,,47.59,47.49,70.1,38.17,72.0,50.73,6.15,43.76,52.33,8,,,,
9,Qwen3-Max,,47.09,62.81,64.72,46.13,75.9,42.12,12.31,20.4,52.33,8,,,,
10,Claude4-1-Opus,,46.72,46.4,69.02,43.57,71.8,29.47,10.77,45.19,57.56,8,,,,
11,Seed-1.8,,46.33,26.8,66.36,46.83,75.3,49.1,9.23,48.78,48.26,8,,,,
12,GPT-5.1,GPT-5-1,46.13,48.14,63.9,26.92,86.44,41.45,9.23,33.05,59.88,8,,,,
13,Seed1.6-vision,,45.8,36.31,64.64,43.18,75.79,45.0,10.77,44.75,45.93,8,,,,
14,GPT-5.2,,45.3,46.36,65.53,23.43,76.2,40.77,7.69,41.94,60.47,8,,,,
15,InternS1,,45.19,33.96,65.87,46.6,73.8,37.45,4.62,45.73,53.49,8,,,,
16,Grok-4-1-fast-reasoning,,44.17,33.62,68.76,27.05,76.8,49.62,13.85,31.35,52.33,8,,,,
17,Ling-flash-2.0,,43.84,40.15,59.87,46.35,72.3,50.29,3.08,,34.88,7,SFE,,,
18,Qwen3-VL-235B-A22B-Thinking,,42.43,36.92,63.68,64.75,,40.62,6.15,,,5,"EarthSE, SFE, TRQA",,,
19,Llama 4 Maverick,,42.31,39.67,66.44,44.29,56.0,38.31,4.62,36.83,52.33,8,,,,
20,DeepSeek-v3.2,,41.92,44.06,68.01,46.38,70.8,45.35,10.77,0.0,50.0,8,,,,
21,Gemini-2.5-Flash,,40.45,40.09,42.32,38.69,72.3,40.86,4.62,38.2,46.51,8,,,,
22,Grok-2-vision-1212,,39.22,35.43,60.77,28.27,61.6,49.63,7.69,25.04,45.35,8,,,,
23,GPT-4o,,38.53,37.59,61.67,35.37,58.86,33.04,4.62,25.93,51.16,8,,,,
24,DeepSeek-R1,,35.92,1.82,45.97,52.1,49.0,49.73,4.6,,48.26,7,SFE,,,
25,GLM-4.5V,,27.04,1.98,49.35,0.0,35.6,42.23,6.15,38.57,42.44,8,,,,
26,InterS1-mini,,19.39,,,19.39,,,,,,1,"AstroVisBench, ChemBench, EarthSE, ResearchBench, SciCode, SFE, TRQA",,,
27,S1-base,,12.31,,,,,,12.31,,,1,"AstroVisBench, ChemBench, CMPhysBench, EarthSE, ResearchBench, SFE, TRQA",,,
28,MiniMax-M2.5,,10.77,,,,,,10.77,,,1,"AstroVisBench, ChemBench, CMPhysBench, EarthSE, ResearchBench, SFE, TRQA",,,
28,seed-2.0,,10.77,,,,,,10.77,,,1,"AstroVisBench, ChemBench, CMPhysBench, EarthSE, ResearchBench, SFE, TRQA",,,
